Unnamed: 0,Rest_type
341,Sweet Shop
341,Quick Bites
342,Quick Bites
343,Quick Bites
344,Quick Bites
345,Cafe
345,Quick Bites
346,Cafe
347,Kiosk
348,Casual Dining
349,Quick Bites
350,Cafe
351,Casual Dining
352,Quick Bites
353,Quick Bites
354,Quick Bites
355,Food Truck
356,Quick Bites
357,Casual Dining
358,Beverage Shop
359,Quick Bites
359,Dessert Parlor
360,Casual Dining
361,Beverage Shop
361,Quick Bites
362,Quick Bites
363,Casual Dining
364,Quick Bites
365,Quick Bites
366,Beverage Shop
366,Dessert Parlor
367,Quick Bites
368,Quick Bites
369,Takeaway
370,Cafe
371,Beverage Shop
372,Quick Bites
373,Quick Bites
374,Quick Bites
375,Pub
375,Casual Dining
376,Quick Bites
377,Beverage Shop
377,Quick Bites
378,Quick Bites
379,Quick Bites
380,Quick Bites
381,Quick Bites
382,Quick Bites
383,Quick Bites
384,Quick Bites
385,Quick Bites
386,Quick Bites
387,Quick Bites
388,Quick Bites
389,Quick Bites
390,Quick Bites
391,Casual Dining
392,Sweet Shop
393,Quick Bites
394,Quick Bites
395,Quick Bites
396,Casual Dining
397,Casual Dining
397,Bar
398,Quick Bites
399,Casual Dining
400,Casual Dining
401,Quick Bites
402,Casual Dining
403,Cafe
404,Casual Dining
405,Quick Bites
406,Quick Bites
407,Bakery
408,Sweet Shop
409,Quick Bites
410,Casual Dining
411,Quick Bites
412,Casual Dining
413,Quick Bites
414,Quick Bites
415,Dessert Parlor
415,Beverage Shop
416,Quick Bites
417,Quick Bites
418,Beverage Shop
418,Quick Bites
419,Quick Bites
420,Cafe
421,Quick Bites
422,Quick Bites
423,Quick Bites
424,Casual Dining
425,Quick Bites
426,Takeaway
426,Delivery
427,Quick Bites
428,Dessert Parlor
429,Dessert Parlor
430,Quick Bites
430,Bakery
431,Quick Bites
432,Quick Bites
433,Quick Bites
434,Quick Bites
435,Delivery
436,Quick Bites
437,Takeaway
437,Delivery
439,Takeaway
439,Delivery
441,Quick Bites
442,Bakery
443,Casual Dining
444,Quick Bites
445,Takeaway
445,Delivery
446,Casual Dining
446,Bar
447,Quick Bites
448,Casual Dining
449,Dessert Parlor
449,Quick Bites
450,Quick Bites
451,Quick Bites
452,Quick Bites
453,Quick Bites
454,Quick Bites
455,Quick Bites
456,Casual Dining
457,Casual Dining
458,Quick Bites
459,Quick Bites
460,Cafe
461,Casual Dining
462,Quick Bites
463,Quick Bites
464,Casual Dining
465,Casual Dining
466,Quick Bites
467,Casual Dining
468,Quick Bites
469,Casual Dining
470,Quick Bites
471,Casual Dining
471,Bar
472,Quick Bites
473,Cafe
474,Cafe
474,Casual Dining
475,Casual Dining
476,Microbrewery
476,Casual Dining
477,Quick Bites
478,Quick Bites
479,Quick Bites
480,Quick Bites
481,Quick Bites
482,Cafe
483,Quick Bites
484,Casual Dining
485,Quick Bites
486,Quick Bites
487,Casual Dining
488,Cafe
489,Casual Dining
490,Cafe
491,Quick Bites
492,Delivery
493,Casual Dining
494,Dessert Parlor
495,Sweet Shop
496,Dessert Parlor
497,Dessert Parlor
498,Bakery
498,Dessert Parlor
499,Dessert Parlor
500,Sweet Shop
501,Bakery
502,Dessert Parlor
503,Cafe
503,Casual Dining
504,Sweet Shop
504,Quick Bites
505,Dessert Parlor
506,Cafe
507,Beverage Shop
507,Dessert Parlor
508,Dessert Parlor
509,Sweet Shop
510,Bakery
511,Sweet Shop
512,Beverage Shop
512,Dessert Parlor
513,Dessert Parlor
514,Dessert Parlor
515,Beverage Shop
515,Quick Bites
516,Quick Bites
517,Bakery
518,Takeaway
518,Delivery
519,Cafe
520,Bakery
521,Dessert Parlor
522,Bakery
523,Dessert Parlor
524,Bakery
525,Dessert Parlor
526,Bakery
527,Dessert Parlor
528,Delivery
529,Sweet Shop
530,Confectionery
531,Quick Bites
532,Delivery
533,Dessert Parlor
534,Dessert Parlor
535,Sweet Shop
535,Quick Bites
536,Dessert Parlor
537,Cafe
538,Bakery
539,Bakery
539,Quick Bites
