Unnamed: 0,Dish_liked
86,Tandoori Chicken
86,Vegetable Biryani
86,Chicken Kebab
86,Raita
87,Not Provided
88,Not Provided
89,Not Provided
90,Not Provided
91,Not Provided
92,Not Provided
93,Not Provided
94,Biryani
94,Chicken Guntur
94,Thali
94,Buttermilk
94,Manchurian
95,Chilli Chicken
96,Not Provided
97,Not Provided
98,Panipuri
98,Chaat
98,Noodles
98,Dahi Bhalle
99,Hot Chocolate Fudge
100,Rooftop Ambience
101,Coffee
101,Tea
101,Kesari Bath
101,Open Dosa
101,Vada
101,Idli
101,Bread Dosa
102,Not Provided
103,Cup Cake
103,Chocolate Cake
104,Not Provided
105,Not Provided
106,Not Provided
107,Not Provided
108,Not Provided
109,Not Provided
110,Not Provided
111,Not Provided
112,Not Provided
113,Not Provided
114,Not Provided
115,Not Provided
116,Not Provided
117,Not Provided
118,Not Provided
119,Not Provided
120,Masala Dosa
120,Tirupathi Pongal
120,Filter Coffee
120,Vada
120,Kharabath
120,Kali Dosa
120,Rava Idli
121,Not Provided
122,Not Provided
123,Not Provided
124,Not Provided
125,Not Provided
126,Not Provided
127,Not Provided
128,Not Provided
129,Not Provided
130,Not Provided
131,Not Provided
132,Not Provided
133,Not Provided
134,Not Provided
135,Not Provided
136,Not Provided
137,Not Provided
138,Not Provided
139,Not Provided
140,Not Provided
141,Not Provided
142,Not Provided
143,Not Provided
144,Not Provided
145,Panner Tikka
145,Kulfi
145,Coffee
145,Pav Bhaji
145,Carrot Halwa
145,Fried Rice
145,Set Dosa
146,Paneer Tikka
146,Dal Kichadi
146,French Fries
147,Not Provided
148,Filter Coffee
148,Masala Dosa
148,Idli
148,Vada
149,Not Provided
150,Rolls
150,Shawarma
150,Butter Chicken
150,Mutton Biryani
150,Lahori Chicken
150,Chicken Roll
150,Grape Juice
151,Rolls
151,Paratha
151,Chicken Biryani
152,Paratha
152,Mughlai Chicken
152,Masala Lemonade
152,Butter Chicken
152,Rajma
152,Sandwich
152,Salad
153,Burgers
153,French Fries
154,Not Provided
155,Rolls
155,Ice Cream Roll
155,Paan Ice Cream
155,Coffee
155,Vanilla Ice Cream
155,Chocolate Icecreams
155,Mississippi Mudpie
156,Kadhai Paneer
156,Ghee Rice
156,Chicken Grill
156,Shawarma
156,Paratha
156,Biryani
156,Butter Chicken
157,Not Provided
158,Not Provided
159,Chicken Biryani
159,Rolls
160,Not Provided
161,Not Provided
162,Roast Pork
162,Tai Pai Chicken
162,Beer
162,Sweet Corn Chicken Soup
162,Masala Peanuts
162,Chinese Chop Suey
162,Chicken Lollipop
163,Not Provided
164,Pizza
164,Nachos
164,Garlic Maggi
164,Burgers
164,Cheese Maggi
164,Bruschetta Bites
164,Sandwich
165,Not Provided
166,Noodles
166,Laksa Soup
166,Coffee
166,Veg Fritters
166,Vegetarian
166,Babycorn Manchurian
166,Mango Salad
167,Lassi
168,Coffee
168,Chaat
169,Not Provided
170,Not Provided
171,Not Provided
172,Not Provided
173,Not Provided
174,Pizza
174,Nachos
174,Salads
174,Peri Peri Fries
174,Brownie
174,Pasta Alfredo
174,Spaghetti
175,Not Provided
176,Chicken Grill
176,Biryani
176,Roti
176,Chicken Masala
177,Chaat
177,Pav Bhaji
177,Dabeli
177,Vada Pav
177,Tawa Pulav
177,Panipuri
177,Malpua
178,Pizza
178,Burgers
179,Not Provided
180,Burgers
180,Panneer Butter Masala
180,Pasta
180,Hot Dog
180,Fries
180,Cheesy Pizza
180,Potato Wedges
181,Sandwiches
181,Thick Shakes
181,Paan Shake
181,Brownie Bomb
181,Fries
181,Spinach Corn Sandwich
181,Paneer Peri Peri
182,Pizza
182,Pasta
182,Spinach Salsa
182,Garlic Bread
182,Lasagne
182,Bruschettas
182,Chocolate Bomb
183,Not Provided
184,Not Provided
185,Friendly Staff
